Unnamed: 0,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_06 (X-Variables),Y5/PC_06 (X-Variables),Y6/PC_09 (X-Variables)
,0.5408/0.3282,0.5402/0.2619,0.6401/0.4009,0.7928/0.6816,0.9060/0.7007
1,0,0,-0.705,0,0
2,-4.731,-0.316,-0.888,-13.19,0.253
3,-5.635,-0.457,-0.861,-15.096,-0.318
4,-4.752,-0.353,-0.82,-9.262,-0.828
5,-3.693,-0.13,-0.738,-4.811,-0.764
6,-3.706,-0.12,-0.644,-8.64,-0.484
7,-5.492,-0.351,-0.637,-13.218,-0.771
8,-6.159,-0.485,-0.667,-13.195,-0.201
9,-5.629,-0.436,-0.676,-14.051,0.335
10,-5.071,-0.316,-0.578,-11.991,-0.0004763
11,-5.096,-0.337,-0.494,-13.056,-0.06902
12,-6.482,-0.525,-0.485,-20.877,-0.78
13,-6.534,-0.477,-0.555,-21.387,-1.118
14,-5.893,-0.276,-0.584,-17.273,-0.593
15,-6.627,-0.354,-0.588,-21.387,-0.831
16,-7.22,-0.469,-0.615,-26.3,-1.655
17,-6.623,-0.379,-0.647,-22.018,-1.013
18,-6.325,-0.346,-0.621,-18.756,-0.421
19,-6.363,-0.322,-0.541,-18.384,-1.062
20,-5.793,-0.215,-0.402,-14.075,-0.328
21,-4.604,-0.147,-0.118,-3.84,1.368
22,-2.486,0.06391,0.383,9.689,1.746
23,-0.242,0.367,1.06,22.683,2.345
24,1.797,0.574,1.874,32.809,3.801
25,6.126,1.341,2.858,39.623,5.638
26,8.283,1.522,3.846,42.381,5.473
27,6.687,0.948,4.642,33.839,3.643
28,3.878,0.501,4.921,1.115,1.386
29,-4.204,-0.521,4.405,-55.47,-3.395
30,-13.286,-1.726,3.171,-105.528,-6.553
31,-18.911,-2.598,1.436,-127.693,-7.015
32,-21.125,-2.788,-0.207,-118.217,-6.394
33,-19.018,-2.43,-1.462,-86.346,-3.498
34,-15.48,-1.908,-2.245,-57.689,-1.564
35,-13.72,-1.599,-2.817,-50.493,-2.13
36,-13.606,-1.608,-3.457,-50.871,-4.165
37,-11.139,-1.145,-4.053,-33.921,-6.195
38,-4.973,-0.185,-4.272,-1.994,-5.104
39,-0.369,0.437,-4,25.554,-4.195
40,-0.235,0.604,-3.343,43.149,-5.143
41,-0.688,0.656,-2.41,60.316,-3.032
42,0.838,0.814,-1.079,78.201,0.973
43,0.475,0.817,0.446,74.407,2.141
44,-3.766,0.37,1.798,47.437,0.338
45,-6.822,-0.03401,2.639,25.18,-1.176
46,-7.805,-0.272,2.97,8.342,-2.348
47,-8.648,-0.333,2.765,-14.888,-6.091
48,-8.315,-0.248,2.2,-31.537,-8.778
49,-7.112,-0.357,1.607,-32.45,-7.119
50,-8.16,-0.658,1.344,-30.784,-4.416
51,-12.637,-1.232,1.413,-37.188,-2.136
52,-15.092,-1.515,1.689,-45.925,0.985
53,-14.908,-1.417,1.966,-50.337,2.65
54,-15.844,-1.449,2.129,-57.318,2.042
55,-18.064,-1.672,1.937,-80.889,1.268
56,-22.687,-2.305,1.167,-125.695,0.326
57,-29.648,-3.244,-0.322,-173.097,0.357
58,-35.381,-3.783,-2.486,-200.045,0.212
59,-33.86,-3.296,-4.716,-178.722,-0.394
60,-25.942,-2.293,-6.402,-114.7,0.363
61,-17.168,-1.388,-7.031,-44.021,1.491
62,-9.959,-0.734,-6.709,0.528,3.212
63,-6.972,-0.554,-5.983,9.107,2.985
64,-4.083,-0.01942,-5.411,17.934,-1.779
65,3.808,1.328,-5.242,42.485,-6.158
66,17.062,3.301,-5.096,76.619,-6.197
67,31.42,5.335,-4.645,116.672,-4.115
68,41.453,6.681,-3.492,171.736,-2.426
69,41.837,6.317,-1.127,234.864,3.333
70,30.455,3.929,2.624,248.812,10.769
71,22.599,2.448,6.3,164.395,9.162
72,23.053,2.783,7.687,38.866,-4.114
73,18.553,1.878,5.762,-15.607,-13.128
74,21.529,1.056,2.5,9.096,0.933
75,28.002,2.229,-0.121,107.745,7.736
76,29.661,3.304,-1.302,161.625,5.037
77,31.274,3.888,-1.567,128.168,5.466
78,29.468,4.548,-1.453,122.838,-2.402
79,25.844,4.096,-0.999,117.727,-7.3
80,23.836,3.156,0.09308,102.402,-2.152
81,20.637,2.542,1.698,101.937,-0.731
82,16.259,1.75,3.85,87.955,-2.015
83,14.185,0.766,5.807,46.824,3.372
84,4.209,-1.144,7.5,-4.587,5.307
85,-10.499,-3.064,8.581,-45.226,4.542
86,-20.53,-4.003,9.057,-46.983,3.932
87,-23.369,-4.178,8.762,-46.305,0.602
88,-20.768,-3.567,7.783,-80.783,-1.872
89,-20.529,-3.503,6.134,-141.095,0.643
90,-19.987,-3.477,4.244,-157.251,-0.638
91,-17.262,-2.934,2.467,-142.75,-3.134
92,-11.584,-2.367,1.262,-102.011,-2.101
93,-1.56,-1.039,0.902,5.011,-1.117
94,4.404,-0.264,1.125,34.849,0.291
95,5.997,0.09692,1.311,-8.712,-1.291
96,4.607,0.422,1.285,-27.426,-3.86
97,2.949,0.29,0.873,-34.83,-5.693
98,0.01262,-0.16,0.09668,-45.119,-7.387
99,0.813,-0.08685,-0.833,-33.798,-6.692
100,2.599,0.217,-1.602,-32.548,-3.333
101,0.53,-0.133,-2.066,-33.061,-1.781
102,3.008,-0.222,-2.325,-9.189,-2.528
103,3.168,-0.528,-2.599,-22.947,-1.826
104,1.646,-0.701,-2.778,-16.921,-2.763
105,0.664,-0.595,-3.042,-5.779,-3.586
106,-6.088,-1.25,-3.347,-28.396,-0.123
107,-10.796,-1.784,-3.685,-44.513,1.114
108,-12.926,-1.921,-4.025,-42.271,0.772
109,-9.608,-1.663,-4.152,-17.849,3.783
110,-5.003,-1.397,-4.074,-7.089,3.087
111,-8.047,-1.637,-3.929,-14.735,-0.926
112,-8.936,-1.588,-3.741,-6.872,-0.301
113,-8.977,-1.322,-3.454,-12.541,1.917
114,-11.694,-1.488,-3.269,-40.441,1.788
115,-9.721,-1.489,-2.975,-29.146,1.517
116,-6.046,-0.992,-2.553,1.563,2.43
117,-1.61,-0.126,-1.732,25.838,2.952
118,1.399,0.246,-0.941,20.651,1.729
