Method 8,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_07 (X-Variables),Y5/PC_06 (X-Variables),Y6/PC_07 (X-Variables),original_band,portable_band
1,0,0,0,0,0,404.52,
2,-4.731,-0.316,1.404,-13.19,-3.233,408.52,
3,-5.635,-0.457,0.0225,-15.096,-6.833,412.53,
4,-4.752,-0.353,1.373,-9.262,-4.7,416.53,
5,-3.693,-0.13,3.069,-4.811,-1.484,420.53,
6,-3.706,-0.12,1.778,-8.64,-3.189,424.53,
7,-5.492,-0.351,-0.657,-13.218,-11.576,428.54,
8,-6.159,-0.485,-0.26,-13.195,-6.118,432.54,
9,-5.629,-0.436,1.372,-14.051,-0.181,436.54,
10,-5.071,-0.316,2.386,-11.991,-4.033,440.54,
11,-5.096,-0.337,1.459,-13.056,-1.593,444.55,
12,-6.482,-0.525,-1.457,-20.877,-8.979,448.55,450
13,-6.534,-0.477,-1.373,-21.387,-17.643,452.55,
14,-5.893,-0.276,1.412,-17.273,-8.489,456.55,458
15,-6.627,-0.354,1.019,-21.387,-6.854,460.56,
16,-7.22,-0.469,-1.36,-26.3,-21.803,464.56,466
17,-6.623,-0.379,0.55,-22.018,-14.384,468.56,
18,-6.325,-0.346,2.652,-18.756,-1.899,472.56,474
19,-6.363,-0.322,1.921,-18.384,-7.934,476.56,
20,-5.793,-0.215,3.29,-14.075,-0.146,480.57,482
21,-4.604,-0.147,7.091,-3.84,22.983,484.57,
22,-2.486,0.06391,10.267,9.689,31.55,488.57,490
23,-0.242,0.367,12.034,22.683,38.56,492.57,
24,1.797,0.574,13.434,32.809,52.49,496.58,498
25,6.126,1.341,20.493,39.623,106.125,500.58,
26,8.283,1.522,19.992,42.381,105.132,504.58,506
27,6.687,0.948,10.429,33.839,43.977,508.58,
28,3.878,0.501,2.514,1.115,-0.06737,512.59,514
29,-4.204,-0.521,-13.173,-55.47,-79.076,516.59,
30,-13.286,-1.726,-25.79,-105.528,-134.03,520.59,522
31,-18.911,-2.598,-28.645,-127.693,-145.885,524.59,
32,-21.125,-2.788,-24.708,-118.217,-129.8,528.6,530
33,-19.018,-2.43,-13.935,-86.346,-81.087,532.6,
